date,open,close,high,low,volume
2020-01-02,28.0227858000,28.6491168000,28.8259632000,28.0154172000,82624452
2020-01-03,28.7006970000,29.0322840000,29.1943932000,28.6785912000,52010611
2020-01-06,28.8775434000,28.9143864000,29.5922976000,28.6638540000,54887720
2020-01-07,29.1428130000,28.8480690000,29.4301884000,28.8112260000,34767128
2020-01-08,28.7006970000,28.3027926000,28.7006970000,28.3027926000,36323418
2020-01-09,28.6196424000,28.6638540000,28.7375400000,28.4280588000,30335989
2020-01-10,28.6638540000,28.7670144000,28.9438608000,28.5533250000,28593121
2020-01-13,28.9438608000,28.8112260000,28.9438608000,28.5533250000,32780852
2020-01-14,28.8407004000,28.5975366000,29.2017618000,28.5164820000,33564638
2020-01-15,28.6196424000,28.0891032000,28.6564854000,28.0154172000,48859891
2020-01-16,28.1627892000,27.9712056000,28.2585810000,27.8238336000,45384826
2020-01-17,28.0448916000,27.9490998000,28.1259462000,27.7648848000,42135711
2020-01-20,28.1627892000,28.2291066000,28.4796390000,28.0006800000,58580886
2020-01-21,27.9638370000,27.8459394000,28.1112090000,27.7796220000,41720185
2020-01-22,27.7796220000,27.8680452000,28.0743660000,27.3743490000,53125460
2020-01-23,27.6543558000,27.1238166000,27.7796220000,26.8585470000,78750274
2020-02-03,24.9058680000,25.8122058000,26.1585300000,24.9058680000,113106226
2020-02-04,25.8195744000,26.0480010000,26.1437928000,25.5543048000,122967652
2020-02-05,26.0406324000,26.0553696000,26.1658986000,25.6648338000,80257198
2020-02-06,26.1585300000,26.3427450000,26.4016938000,25.8858918000,73070159
2020-02-07,25.8637860000,26.0995812000,26.1290556000,25.7974686000,67552464
2020-02-10,25.8858918000,25.8637860000,25.9669464000,25.7532570000,57504178
2020-02-11,26.0111580000,26.2101102000,26.4164310000,25.9006290000,55743628
2020-02-12,26.1585300000,26.2322160000,26.2764276000,25.9669464000,40538973
2020-02-13,26.1806358000,25.9890522000,26.1953730000,25.9374720000,42235080
2020-02-14,25.9448406000,26.2616904000,26.3132706000,25.9448406000,40339677
2020-02-17,26.2543218000,26.6522262000,26.6522262000,26.0701068000,66942541
2020-02-18,26.5269600000,26.3059020000,26.5269600000,26.2322160000,51639665
2020-02-19,26.2322160000,26.1806358000,26.4459054000,26.1290556000,41952131
2020-02-20,26.2764276000,26.5122228000,26.5638030000,25.9374720000,74600588
2020-02-21,26.4532740000,26.2616904000,26.4753798000,26.1364242000,73031468
2020-02-24,26.1511614000,25.8269430000,26.2985334000,25.8122058000,79856482
2020-02-25,25.6500966000,25.5174618000,25.8490488000,25.4216700000,87373432
2020-02-26,25.3553526000,25.6648338000,25.7827314000,25.2374550000,77970475
2020-02-27,25.6353594000,25.9522092000,26.0480010000,25.5690420000,68937853
2020-02-28,25.6795710000,25.2006120000,25.9227348000,25.2006120000,83534097
2020-03-02,25.2300864000,25.6058850000,25.7016768000,25.1269260000,70429063
2020-03-03,25.7385198000,25.5100932000,25.8637860000,25.3627212000,68607306
2020-03-04,25.5543048000,25.6279908000,25.6427280000,25.3774584000,56088606
2020-03-05,25.7827314000,26.6964378000,26.7627552000,25.6427280000,135541300
2020-03-06,26.4090624000,26.0922126000,26.5416972000,26.0922126000,67067378
2020-03-09,25.7016768000,25.1858748000,25.7016768000,25.1858748000,96659166
2020-03-10,25.1932434000,25.5543048000,25.7458884000,25.1121888000,66829810
2020-03-11,25.6132536000,25.3848270000,25.7827314000,25.3553526000,56655064
2020-03-12,25.3258782000,25.1711376000,25.4879874000,25.0679772000,61918002
2020-03-13,24.1690080000,24.6184926000,24.7290216000,23.8742640000,114095770
2020-03-16,24.6037554000,23.3363562000,24.6037554000,23.3142504000,106602730
2020-03-17,23.3216190000,23.3805678000,24.0290046000,22.9237146000,84344133
2020-03-18,23.4910968000,22.7100252000,23.7858408000,22.6658136000,82431704
