date,open,close,high,low,volume,amount
2020-01-02,24.4095287600,24.8717117500,25.0440511700,24.2606901700,54604247,1724087023.0000
2020-01-03,25.0675520000,24.8638781400,25.0675520000,24.4878648600,42670858,1349519349.0000
2020-01-06,24.6523706700,24.3546934900,24.8168764800,24.1431860200,42899553,1344879040.0000
2020-01-07,24.4956984700,25.1850561500,25.4278980600,24.3546934900,63222917,2024756211.0000
2020-01-08,25.0048831200,25.2163905900,25.4435652800,24.8952125800,46351899,1491786596.0000
2020-01-09,25.4122308400,25.4513988900,25.7960777300,25.3808964000,43733192,1431347918.0000
2020-01-10,25.4670661100,25.3965636200,25.5532358200,25.1458881000,27093733,875323446.0000
2020-01-13,25.2868930800,25.8430793900,25.8430793900,25.2555586400,38705406,1265476459.0000
2020-01-14,25.9684171500,25.6394055300,25.9684171500,25.5219013800,26158916,856541329.0000
2020-01-15,25.6159047000,26.0624204700,26.3522640400,25.5689030400,48604304,1618594317.0000
2020-01-16,26.0624204700,26.2660943300,26.3600976500,26.0075852000,28437944,950970057.0000
2020-01-17,26.2425935000,25.7569096800,26.3522640400,25.6707399700,39348030,1300292809.0000
2020-01-20,25.7177416300,25.7647432900,25.8117449500,25.3730627900,33212407,1086237540.0000
2020-01-21,25.5845702600,25.2242242000,25.5845702600,24.9892159000,39152828,1261249680.0000
2020-01-22,25.1145536600,25.4200644500,25.4748997200,24.6915387200,37071183,1186652065.0000
2020-01-23,25.2242242000,24.0021810400,25.2242242000,23.8141744000,76416673,2370378721.0000
2020-02-03,21.6990997000,22.2317851800,22.7409698300,21.6990997000,128450428,3648175276.0000
2020-02-04,22.4511262600,23.1404839400,23.1639847700,22.4432926500,80572358,2359172704.0000
2020-02-05,23.3833258500,23.1874856000,23.4068266800,22.9603109100,60131065,1777453108.0000
2020-02-06,23.3833258500,23.7358383000,23.7358383000,23.2579880900,66865003,2008471232.0000
2020-02-07,23.6966702500,24.0883507500,24.2058549000,23.3206569700,55409598,1678307867.0000
2020-02-10,23.7750063500,23.6340013700,23.9786802100,23.4694955600,53719182,1621145673.0000
2020-02-11,23.6261677600,23.6810030300,24.1431860200,23.6261677600,45807210,1395556133.0000
2020-02-12,23.6810030300,23.6966702500,23.8690096700,23.6183341500,36879362,1116136095.0000
2020-02-13,23.6888366400,23.2423208700,23.7358383000,23.2266536500,49674781,1483934957.0000
2020-02-14,23.1874856000,23.2658217000,23.4616619500,23.1561511600,39689228,1180134215.0000
2020-02-17,23.0543142300,23.6340013700,23.6575022000,23.0308134000,61643397,1838585832.0000
2020-02-18,23.5086636100,23.6575022000,23.8141744000,23.4929963900,50145395,1516057254.0000
2020-02-19,23.6575022000,23.9003441100,23.9630129900,23.4929963900,59419892,1800283355.0000
2020-02-20,23.8846768900,24.3546934900,24.4408632000,23.7750063500,57951432,1791801651.0000
2020-02-21,24.2293557300,24.0570163100,24.2450229500,23.9395121600,54909230,1685910240.0000
2020-02-24,23.8690096700,23.4773291700,23.8690096700,23.2658217000,74409277,2229454839.0000
2020-02-25,23.1091495000,23.2579880900,23.3284905800,22.9524773000,62094834,1834848281.0000
2020-02-26,22.8819748100,23.0073125700,23.2814889200,22.7801378800,51749800,1523075113.0000
2020-02-27,23.0699814500,23.4616619500,23.5399980500,23.0308134000,54857726,1634710076.0000
2020-02-28,22.9603109100,22.6469665100,23.3049897500,22.6391329000,53881359,1574965993.0000
2020-03-02,22.7566370500,23.1796519900,23.2658217000,22.7566370500,47623186,1402115817.0000
2020-03-03,23.3049897500,23.3833258500,23.5869997100,23.1796519900,60317178,1801083192.0000
2020-03-04,23.3441578000,23.7828399600,23.7985071800,23.2736553100,54509701,1638586482.0000
2020-03-05,23.9395121600,24.2371893400,24.5035320800,23.6731694200,87707587,2701424591.0000
2020-03-06,23.9708466000,23.7906735700,24.3781943200,23.7436719100,46843030,1435565788.0000
2020-03-09,23.2658217000,22.7409698300,23.2658217000,22.7174690000,76566759,2240691964.0000
2020-03-10,22.6391329000,23.4146602900,23.4616619500,22.6391329000,60902118,1797201140.0000
2020-03-11,23.3441578000,22.9211428600,23.3519914100,22.9054756400,51209474,1508411242.0000
2020-03-12,22.7018017800,22.3806237700,22.7096353900,22.2317851800,54895270,1569879524.0000
2020-03-13,21.5032594500,22.1377818600,22.3806237700,21.2682511500,84007352,2335727469.0000
2020-03-16,22.1299482500,21.3465872500,22.1299482500,21.1899150500,67051726,1856329973.0000
2020-03-17,21.5424275000,21.7617685800,21.9732760500,21.0645772900,74088640,2049499753.0000
2020-03-18,21.8714391200,21.6755988700,22.4824607000,21.5345938900,55265696,1557497057.0000
2020-03-19,21.7069333100,21.8087702400,21.9889432700,21.1899150500,72267433,1995562476.0000
2020-03-20,21.8087702400,22.2082843500,22.3649565500,21.8087702400,48390395,1361176853.0000
2020-03-23,21.3622544700,21.5502611100,21.8166038500,21.3544208600,59706011,1642827235.0000
2020-03-24,21.9732760500,22.2082843500,22.2474524000,21.8636055100,52143366,1469215018.0000
2020-03-25,22.6783009500,22.4354590400,22.7174690000,22.2396187900,54254740,1555754047.0000
2020-03-26,22.0986138100,22.2317851800,22.5059615300,22.0359449300,31351275,892371568.0000
2020-03-27,22.5372959700,22.4746270900,22.8976420300,22.4041246000,64662894,1871732406.0000
2020-03-30,22.3022876700,22.7409698300,22.7723042700,22.2396187900,50676955,1463808275.0000
2020-03-31,22.9524773000,23.3911594600,23.4068266800,22.7253026100,63805901,1885140153.0000
2020-04-01,23.1013158900,22.9524773000,23.3911594600,22.8271395400,56808249,1676208844.0000
2020-04-02,22.8663075900,22.8976420300,23.0229797900,22.5451295800,40248140,1166856613.0000
2020-04-03,22.8349731500,23.0543142300,23.3676586300,22.7253026100,38832352,1145036439.0000
2020-04-07,23.3833258500,23.6496685900,23.8063407900,23.3833258500,74944943,2260268742.0000
2020-04-08,23.5008300000,23.4459947300,23.6496685900,23.2658217000,35990802,1075702301.0000
2020-04-09,23.5478316600,23.6183341500,23.8768432800,23.5321644400,41212718,1247506237.0000
2020-04-10,23.6183341500,23.6575022000,24.1823540700,23.5008300000,47280471,1438464290.0000
2020-04-13,23.6496685900,23.3911594600,23.6496685900,23.1404839400,34209997,1020135646.0000
2020-04-14,23.4929963900,23.9081777200,24.0100146500,23.1483175500,56934408,1721743183.0000
2020-04-15,23.9630129900,23.4851627800,24.0100146500,23.3519914100,44135806,1330034480.0000
2020-04-16,23.4146602900,23.3441578000,23.6496685900,23.2031528200,30322811,904670642.0000
2020-04-17,23.5791661000,23.4616619500,23.7358383000,23.3911594600,37875851,1137585195.0000
2020-04-20,23.7358383000,23.8925105000,24.0883507500,23.5086636100,59572089,1816205460.0000
2020-04-21,23.8925105000,23.5243308300,23.8925105000,23.2579880900,60355286,1806487373.0000
2020-04-22,23.3441578000,23.7593391300,23.7828399600,23.3206569700,41391770,1248908186.0000
2020-04-23,23.7358383000,24.0726835300,24.4173623700,23.7201710800,58380677,1801503617.0000
2020-04-24,24.1510196300,24.4408632000,24.6758715000,23.9708466000,60367387,1877825383.0000
2020-04-27,24.4956984700,24.3076918300,24.6367034500,24.1275188000,37325208,1157584969.0000
2020-04-28,24.3233590500,24.6132026200,24.7385403800,23.9316785500,60087289,1869831439.0000
2020-04-29,23.6575022000,22.9446436900,23.6575022000,22.7096353900,183535564,5420001750.0000
2020-04-30,22.9446436900,22.9054756400,23.1483175500,22.5607968000,107814315,3145045336.0000
2020-05-06,22.4902943100,22.8506403700,22.8741412000,22.4824607000,98649301,2860917396.0000
2020-05-07,22.8663075900,22.7644706600,23.0386470100,22.6861345600,64781449,1889219978.0000
2020-05-08,22.8428067600,23.0621478400,23.2266536500,22.6861345600,79537690,2333025862.0000
2020-05-11,23.0229797900,22.8898084200,23.4773291700,22.7566370500,68164476,2002607578.0000
2020-05-12,22.7879714900,22.8193059300,22.9916453500,22.7096353900,61031713,1779763160.0000
2020-05-13,22.8193059300,23.0934822800,23.2188200400,22.5999648500,72158052,2117580507.0000
2020-05-14,22.8819748100,22.7174690000,23.0151461800,22.6861345600,58055960,1691099974.0000
2020-05-15,22.8036387100,22.3101212800,22.8271395400,22.2866204500,83648411,2396059950.0000
2020-05-18,22.3101212800,22.4667934800,22.6391329000,22.0124441000,66015811,1890377834.0000
2020-05-19,22.6469665100,22.7174690000,22.7958051000,22.5216287500,56898198,1646419323.0000
2020-05-20,22.6783009500,22.4981279200,22.9368100800,22.4041246000,55192397,1593495910.0000
2020-05-21,22.6156320700,22.3884573800,22.7018017800,22.2787868400,44280704,1270584854.0000
2020-05-22,22.2631196200,21.8479382900,22.3101212800,21.8322710700,72327761,2029391997.0000
2020-05-25,21.9967768800,22.3257885000,22.4354590400,21.5815955500,58449767,1645447689.0000
2020-05-26,22.5686304100,22.4197918200,22.6077984600,22.1456154700,51757466,1478252524.0000
2020-05-27,22.4119582100,22.5059615300,22.7801378800,22.3336221100,50075524,1443822101.0000
2020-05-28,22.5059615300,22.2787868400,22.6704673400,22.0281113200,40702704,1159508948.0000
2020-05-29,22.2239515700,22.2866204500,22.5137951400,22.0986138100,43697295,1243156543.0000
2020-06-01,22.4824607000,22.6548001200,22.8193059300,22.3257885000,78006370,2248817546.0000
2020-06-02,22.5686304100,22.5921312400,22.6469665100,22.3571229400,61188567,1755180203.0000
2020-06-03,22.6312992900,22.5294623600,22.7723042700,22.4197918200,56582801,1633285770.0000
2020-06-04,22.7331362200,22.6234656800,22.7409698300,22.5059615300,47680421,1376684749.0000
2020-06-05,22.6391329000,22.3101212800,22.6783009500,22.1691163000,80649607,2294314332.0000
2020-06-08,22.5607968000,23.7201710800,23.8925105000,22.5372959700,189537220,5671326262.0000
2020-06-09,24.0335154800,23.9316785500,24.3468598800,23.8063407900,136287437,4187300511.0000
2020-06-10,23.9638766600,23.6178569500,24.0121584800,23.5293402800,64572092,1905090188.0000
2020-06-11,23.7385615000,23.2476963300,23.8029372600,22.9338645000,78532535,2271576189.0000
2020-06-12,22.8936296500,23.4166827000,23.4166827000,22.8533948000,54400167,1566075207.0000
2020-06-15,23.0948039000,23.0143342000,23.3844948200,22.9660523800,59911757,1723102147.0000
2020-06-16,23.2637902700,23.2637902700,23.4247296700,23.0787099600,55765244,1611915284.0000
